,Date,Home,HomeP,Away,AwayP,HomeD,AwayD,HCAP
336,05-12-2025 20:00,Houston Rockets,117,Phoenix Suns,98,"[['Thompson A.', 32, '31', '4', '1'], ['Okogie J.', 16, '6', '4', '1'], ['Kevin Durant', 32, '28', '4', '8'], ['Smith Jr. J.', 28, '16', '2', '2'], ['S.Adams', 30, '4', '8', '3'], ['Holiday A.', 29, '10', '1', '2'], ['Sheppard R.', 21, '10', '5', '6'], ['Tate J.', 19, '8', '2', '1'], ['Clint Capela', 18, '4', '7', '1'], ['Green J.', 8, '0', '1', '0'], ['JD Davison', 7, '0', '2', '0']]","[['Collin Gillespie', 29, '13', '2', '3'], ['Grayson Allen', 26, '9', '2', '0'], ['Brooks D.', 31, '23', '4', '4'], [""Royce O'Neale"", 19, '0', '2', '2'], ['Mark Williams', 17, '10', '3', '0'], ['Ighodaro O.', 23, '3', '3', '1'], ['J.Goodwin', 22, '9', '5', '2'], ['Dunn R.', 18, '4', '4', '0'], ['Bouyea J.', 18, '18', '2', '1'], ['Hayes N.', 15, '2', '2', '0'], ['Fleming R.', 8, '3', '2', '0'], ['Nick Richards', 8, '2', '0', '1'], ['Maluach K.', 5, '2', '3', '0']]",8.5
337,05-12-2025 20:00,Memphis Grizzlies,107,Los Angeles Clippers,98,"[['Coward C.', 28, '23', '14', '5'], ['Williams V.', 19, '3', '1', '4'], ['Jackson J.', 31, '13', '3', '0'], ['Wells J.', 27, '17', '3', '0'], ['Edey Z.', 29, '10', '8', '1'], ['Spencer C.', 29, '17', '5', '7'], ['Aldama S.', 25, '7', '6', '4'], ['Caldwell-Pope K.', 19, '5', '0', '5'], ['Landale J.', 17, '7', '1', '1'], ['Konchar J.', 16, '5', '1', '1']]","[['Harden', 36, '18', '2', '7'], ['Dunn K.', 21, '0', '3', '3'], ['Leonard K.', 35, '24', '8', '4'], ['John Collins', 25, '16', '2', '2'], ['Zubac I.', 35, '10', '6', '1'], ['Batum N.', 31, '6', '3', '4'], ['Sanders K.', 27, '8', '7', '0'], ['Brown K.', 21, '13', '4', '1'], ['Christie C.', 10, '3', '2', '0']]",-2.5
338,05-12-2025 20:00,Milwaukee Bucks,101,Philadelphia 76ers,116,"[['Porter Jr.', 37, '20', '7', '9'], ['Rollins R.', 35, '16', '6', '7'], ['Sims', 30, '2', '9', '0'], ['Green A.', 15, '0', '0', '2'], ['Turner M.', 23, '19', '2', '2'], ['Kuzma K.', 29, '14', '5', '1'], ['Trent G.', 24, '6', '1', '3'], ['Portis B.', 23, '22', '4', '0'], ['Harris G.', 21, '0', '3', '1'], ['Nance P.', 1, '0', '0', '0'], ['Jackson A.', 1, '0', '0', '0'], ['Anthony C.', 1, '0', '0', '1'], ['Coffey A.', 1, '0', '0', '0'], ['Antetokounmpo T.', 1, '2', '0', '0']]","[['Tyrese Maxey', 37, '12', '4', '4'], ['VJ Edgecombe', 24, '12', '4', '1'], ['Paul George', 30, '20', '5', '5'], ['Barlow D.', 21, '6', '4', '2'], ['Andre Drummond', 23, '5', '6', '2'], ['Quentin Grimes', 29, '22', '4', '5'], ['Bona Adem', 24, '10', '6', '0'], ['Jared McCain', 23, '8', '6', '4'], ['Jabari Walker', 18, '18', '2', '1'], ['Kyle Lowry', 10, '3', '1', '1'], ['Edwards J.', 1, '0', '0', '0']]",-1.5
339,05-12-2025 21:30,Oklahoma City Thunder,132,Dallas Mavericks,111,"[['Shai Gilgeous-Alexander', 29, '33', '5', '6'], ['Cason Wallace', 23, '11', '4', '1'], ['Jalen Williams', 24, '15', '8', '5'], ['Jaylin Williams', 19, '4', '3', '3'], ['Chet Holmgren', 23, '15', '8', '1'], ['Mitchell A.', 23, '9', '0', '2'], ['Carlson B.', 22, '9', '6', '3'], ['Ousmane Dieng', 22, '7', '1', '1'], ['Aaron Wiggins', 20, '11', '2', '3'], ['Kenrich Williams', 20, '10', '1', '3'], ['Youngblood C.', 9, '3', '4', '0'], ['Barnhizer B.', 8, '5', '1', '2']]","[['Nembhard R.', 24, '10', '3', '4'], ['Max Christie', 22, '12', '3', '0'], ['Flagg C.', 29, '16', '2', '2'], ['Naji Marshall', 27, '18', '1', '2'], ['Anthony Davis', 24, '2', '8', '6'], ['Brandon Williams', 24, '9', '3', '7'], ['Jaden Hardy', 20, '23', '2', '2'], ['Klay Thompson', 18, '3', '5', '0'], [""D'Angelo Russell"", 16, '12', '3', '3'], ['Dwight Powell', 16, '3', '2', '2'], ['Caleb Martin', 12, '3', '0', '0'], ['Cisse M.', 8, '0', '3', '0']]",15.5
340,06-12-2025 17:00,Brooklyn Nets,119,New Orleans Pelicans,101,"[['Terance Mann', 26, '10', '5', '4'], ['Demin E.', 25, '8', '4', '7'], ['Porter M.', 33, '35', '9', '3'], ['Noah Clowney', 30, '10', '6', '0'], ['Nicolas Claxton', 29, '14', '11', '10'], ['Powell D.', 21, '3', '1', '3'], ['Saraf B.', 20, '7', '1', '4'], ['Wolf D.', 19, '7', '4', '2'], [""Day'Ron Sharpe"", 19, '16', '3', '3'], ['Ziaire Williams', 15, '9', '1', '0'], ['Jalen Wilson', 4, '0', '0', '0']]","[['Fears J.', 33, '14', '2', '5'], ['McGowens B.', 24, '16', '2', '2'], ['Murphy T.', 35, '23', '5', '5'], ['Bey S.', 33, '18', '5', '2'], ['Queen D.', 26, '6', '9', '5'], ['Alvarado J.', 30, '9', '2', '6'], ['Missi Y.', 18, '4', '6', '2'], ['Peavy M.', 16, '2', '1', '2'], ['Hawkins J.', 14, '6', '2', '1'], ['Matkovic K.', 11, '3', '2', '0']]",3.5
341,06-12-2025 19:00,Washington Wizards,116,Atlanta Hawks,131,"[['Carrington C.', 37, '14', '2', '9'], ['C.J. McCollum', 36, '28', '0', '3'], ['George K.', 36, '15', '6', '7'], ['Justin Champagnie', 32, '16', '5', '3'], ['Bagley M.', 19, '6', '3', '2'], ['Vukcevic T.', 27, '18', '5', '4'], ['Riley W.', 19, '15', '1', '0'], ['Watkins J.', 16, '2', '3', '0'], ['Malaki Branham', 14, '2', '1', '1'], ['Johnson A.', 2, '0', '0', '0'], ['Anthony Gill', 2, '0', '0', '0']]","[['Dyson Daniels', 36, '12', '6', '3'], ['Alexander-Walker N.', 32, '17', '4', '4'], ['Johnson J.', 39, '30', '12', '12'], ['Risacher Z.', 19, '7', '5', '3'], ['Onyeka Okongwu', 36, '21', '9', '6'], ['Krejci V.', 31, '14', '2', '2'], ['L.Kennard', 23, '15', '3', '2'], ['Newell A.', 12, '11', '3', '3'], ['Mouhamed Gueye', 9, '4', '1', '0'], ['Keaton Wallace', 4, '0', '0', '1']]",-9.5
342,06-12-2025 19:30,Cleveland Cavaliers,94,Golden State Warriors,99,"[['D.Mitchell', 37, '29', '4', '3'], ['D.Garland', 32, '17', '5', '4'], ['Tyson J.', 34, '11', '11', '3'], ['Hunter D.', 33, '6', '3', '3'], ['E.Mobley', 35, '18', '10', '1'], ['D.Wade', 19, '3', '4', '0'], ['Tomlin N.', 16, '6', '12', '1'], ['Porter C.', 15, '0', '4', '0'], ['Bryant T.', 12, '2', '6', '0'], ['Travers L.', 5, '2', '2', '0']]","[['Pat Spencer', 29, '19', '4', '7'], ['Hield B.', 26, '13', '7', '3'], ['Kuminga J.', 22, '4', '7', '3'], ['Richard W.', 21, '4', '3', '0'], ['Q·Post', 32, '12', '9', '3'], ['Santos G.', 27, '14', '3', '3'], ['Payton G.', 27, '6', '3', '1'], ['Podziemski B.', 21, '10', '3', '2'], ['Moody M.', 20, '9', '2', '2'], ['Jackson-Davis T.', 16, '8', '5', '1']]",8.5
343,06-12-2025 19:30,Detroit Pistons,124,Milwaukee Bucks,112,"[['Cunningham C.', 32, '23', '6', '12'], ['Robinson D.', 24, '7', '2', '1'], ['Thompson A.', 27, '13', '6', '8'], ['Stewart I.', 26, '19', '2', '0'], ['Duren J.', 33, '16', '16', '1'], ['Caris LeVert', 22, '11', '2', '1'], ['Holland R.', 18, '4', '4', '1'], ['Green', 17, '13', '0', '0'], ['Ivey J.', 16, '10', '5', '2'], ['Reed P.', 15, '6', '10', '3'], ['Lanier C.', 4, '0', '0', '0'], ['Jenkins D.', 4, '2', '0', '0'], ['Sasser M.', 4, '0', '0', '2']]","[['Porter Jr.', 36, '32', '4', '6'], ['Rollins R.', 23, '10', '6', '6'], ['Sims', 31, '2', '3', '1'], ['Kuzma K.', 29, '15', '4', '1'], ['Turner M.', 25, '12', '1', '0'], ['Trent G.', 29, '11', '1', '1'], ['Portis B.', 20, '7', '7', '4'], ['Harris G.', 14, '2', '1', '1'], ['Jackson A.', 12, '4', '3', '2'], ['Coffey A.', 8, '4', '1', '0'], ['Nance P.', 5, '3', '1', '0'], ['Anthony C.', 5, '3', '2', '2'], ['Antetokounmpo T.', 5, '7', '2', '0']]",12.5
344,06-12-2025 20:00,Miami Heat,111,Sacramento Kings,127,"[['Powell N.', 27, '18', '2', '1'], ['Smith D.', 19, '4', '1', '2'], ['Wiggins A.', 26, '13', '4', '4'], ['Adebayo B.', 25, '9', '7', '3'], ['Ware K.', 30, '5', '6', '0'], ['Jaquez Jr. J.', 35, '27', '6', '6'], ['Jovic N.', 31, '12', '2', '6'], ['Fontecchio S.', 26, '20', '7', '0'], ['Johnson K.', 14, '3', '5', '0'], ['Young J.', 8, '0', '1', '1']]","[['Zach LaVine', 39, '42', '5', '1'], ['Westbrook R.', 32, '12', '1', '10'], ['DeMar DeRozan', 40, '13', '6', '6'], ['Keegan Murray', 32, '16', '4', '1'], ['Raynaud M.', 25, '12', '10', '1'], ['N. Clifford', 18, '15', '6', '0'], ['Malik Monk', 17, '3', '0', '4'], ['Precious Achiuwa', 16, '7', '10', '1'], ['D.Eubanks', 11, '4', '2', '0'], ['Keon Ellis', 9, '3', '1', '0']]",8.5
345,06-12-2025 20:00,Minnesota Timberwolves,109,Los Angeles Clippers,106,"[['Edwards A.', 37, '15', '6', '4'], ['DiVincenzo', 25, '5', '4', '4'], ['McDaniels J.', 37, '27', '1', '2'], ['Randle', 33, '24', '3', '6'], ['Gobert R.', 33, '4', '7', '2'], ['Reid N.', 28, '19', '9', '3'], ['Conley M.', 18, '5', '2', '0'], ['Clark J.', 16, '8', '3', '0'], ['Dillingham R.', 9, '0', '0', '2'], ['Shannon Jr. T.', 5, '2', '0', '0'], ['Ingles J.', 1, '0', '0', '0']]","[['Harden', 39, '34', '5', '6'], ['Dunn K.', 36, '8', '6', '4'], ['Leonard K.', 31, '20', '3', '2'], ['John Collins', 30, '12', '2', '0'], ['Zubac I.', 38, '15', '13', '2'], ['Bogdanovic B.', 23, '9', '1', '2'], ['Batum N.', 17, '3', '4', '0'], ['Sanders K.', 16, '2', '1', '0'], ['Lopez B.', 10, '3', '0', '0']]",7.5
