,Date,Home,HomeP,Away,AwayP,HomeD,AwayD
30,25-10-2025 18:30,Philadelphia 76ers,125,Charlotte Hornets,121,"[['Tyrese Maxey', ""42'"", '28', '6', '9'], ['VJ Edgecombe', ""40'"", '15', '6', '8'], ['Kelly Oubre Jr', ""37'"", '19', '1', '1'], ['Barlow D.', ""16'"", '2', '4', '0'], ['Joel Embiid', ""20'"", '20', '2', '4'], ['Quentin Grimes', ""30'"", '24', '3', '4'], ['Andre Drummond', ""16'"", '7', '13', '2'], ['Jabari Walker', ""15'"", '0', '4', '0'], ['Edwards J.', ""12'"", '9', '1', '0'], ['Bona Adem', ""12'"", '1', '0', '1']]","[['LaMelo Ball', ""34'"", '27', '10', '8'], ['Collin Sexton', ""30'"", '21', '2', '7'], ['Miles Bridges', ""35'"", '18', '9', '7'], ['Brandon Miller', ""9'"", '4', '0', '1'], ['Kalkbrenner R.', ""26'"", '14', '7', '1'], ['Knueppel K.', ""30'"", '14', '3', '1'], ['Tre Mann', ""22'"", '4', '5', '2'], ['James S.', ""19'"", '10', '2', '1'], ['Moussa Diabate', ""17'"", '6', '2', '0'], ['Salaun T.', ""13'"", '3', '5', '1'], ['Mason Plumlee', ""5'"", '0', '0', '1']]"
31,25-10-2025 19:00,Memphis Grizzlies,128,Indiana Pacers,103,"[['Wells J.', ""27'"", '5', '3', '0'], ['Ja Morant', ""27'"", '19', '3', '8'], ['Jackson J.', ""25'"", '17', '2', '1'], ['Caldwell-Pope K.', ""23'"", '10', '4', '5'], ['Landale J.', ""26'"", '8', '8', '1'], ['Konchar J.', ""25'"", '9', '5', '2'], ['Coward C.', ""24'"", '27', '6', '4'], ['Small J.', ""21'"", '16', '2', '6'], ['Aldama S.', ""21'"", '9', '8', '1'], ['Spencer C.', ""16'"", '8', '6', '3'], ['Hall P.', ""2'"", '0', '0', '0'], ['Jackson G.', ""2'"", '0', '0', '0'], ['Olivier-Maxence Prosper', ""2'"", '0', '2', '0']]","[['Mathurin B.', ""28'"", '26', '3', '4'], ['Sheppard B.', ""24'"", '9', '5', '3'], ['Nesmith A.', ""31'"", '15', '1', '1'], ['Siakam P.', ""26'"", '13', '6', '6'], ['Wiseman J.', ""20'"", '4', '4', '0'], ['Dennis R.', ""28'"", '7', '2', '6'], ['Walker J.', ""27'"", '6', '7', '3'], ['Toppin O.', ""26'"", '13', '9', '2'], ['Jackson I.', ""12'"", '3', '5', '0'], ['Huff J.', ""10'"", '2', '2', '0'], ['Bradley', ""7'"", '5', '0', '0'], ['Peter T.', ""2'"", '0', '0', '0']]"
32,25-10-2025 20:00,Denver Nuggets,133,Phoenix Suns,111,"[['Murray J.', ""32'"", '23', '6', '5'], ['Braun C.', ""31'"", '20', '3', '3'], ['Cameron Johnson', ""25'"", '15', '4', '1'], ['Gordon A.', ""25'"", '17', '2', '1'], ['Jokic N.', ""32'"", '14', '14', '15'], ['Hardaway T.', ""26'"", '4', '0', '0'], ['Bruce Brown', ""22'"", '11', '3', '3'], ['Watson P.', ""20'"", '7', '2', '1'], ['Valanciunas J.', ""13'"", '12', '7', '1'], ['Jones S.', ""3'"", '0', '0', '0'], ['Holmes D.', ""3'"", '3', '0', '0'], ['Pickett J.', ""3'"", '2', '0', '0'], ['Strawther J. L.', ""3'"", '3', '2', '0'], ['Nnaji Z.', ""3'"", '2', '0', '1']]","[['Devin Booker', ""37'"", '31', '3', '7'], ['Grayson Allen', ""33'"", '17', '4', '5'], ['Brooks D.', ""31'"", '15', '3', '2'], ['Dunn R.', ""23'"", '9', '7', '2'], ['Ighodaro O.', ""23'"", '4', '1', '1'], [""Royce O'Neale"", ""28'"", '7', '4', '2'], ['Collin Gillespie', ""14'"", '6', '2', '1'], ['Hayes N.', ""14'"", '4', '5', '2'], ['Maluach K.', ""13'"", '6', '2', '1'], ['Nick Richards', ""10'"", '4', '4', '0'], ['Fleming R.', ""5'"", '3', '2', '0'], ['J.Goodwin', ""5'"", '2', '1', '1'], ['I.Livers', ""5'"", '3', '0', '0']]"
33,26-10-2025 13:00,San Antonio Spurs,118,Brooklyn Nets,107,"[['Devin Vassell', ""35'"", '16', '3', '1'], ['Stephon Castle', ""30'"", '13', '6', '3'], ['Julian Champagnie', ""31'"", '13', '6', '2'], ['Harrison Barnes', ""25'"", '4', '3', '1'], ['Victor Wembanyama', ""36'"", '31', '14', '4'], ['Harper D.', ""29'"", '20', '6', '8'], ['Keldon Johnson', ""29'"", '19', '6', '1'], ['Bismack Biyombo', ""12'"", '0', '1', '0'], ['Jordan McLaughlin', ""7'"", '0', '0', '0'], ['Bryant C.', ""5'"", '2', '0', '0']]","[['Cameron Thomas', ""32'"", '40', '2', '0'], ['Saraf B.', ""15'"", '0', '1', '5'], ['Porter M.', ""38'"", '16', '6', '4'], ['Terance Mann', ""31'"", '7', '6', '3'], ['Nicolas Claxton', ""26'"", '10', '5', '2'], ['Noah Clowney', ""24'"", '7', '3', '2'], ['Demin E.', ""19'"", '3', '4', '1'], ['Jalen Wilson', ""15'"", '9', '1', '1'], [""Day'Ron Sharpe"", ""15'"", '6', '3', '1'], ['Ziaire Williams', ""13'"", '5', '1', '0'], ['Tyrese Martin', ""12'"", '4', '2', '3']]"
34,26-10-2025 14:30,Detroit Pistons,119,Boston Celtics,113,"[['Cunningham C.', ""38'"", '25', '3', '8'], ['Thompson A.', ""36'"", '21', '12', '3'], ['Harris T.', ""35'"", '18', '8', '4'], ['Robinson D.', ""30'"", '8', '4', '1'], ['Duren J.', ""28'"", '24', '18', '1'], ['Stewart I.', ""21'"", '9', '6', '1'], ['Holland R.', ""19'"", '7', '1', '1'], ['Green', ""17'"", '7', '3', '1'], ['Jenkins D.', ""10'"", '0', '0', '1'], ['Lanier C.', ""5'"", '0', '0', '1']]","[['White D.', ""37'"", '15', '4', '3'], ['Pritchard P.', ""34'"", '21', '10', '4'], ['Brown J.', ""35'"", '41', '6', '4'], ['Gonzalez H.', ""18'"", '0', '1', '0'], ['Queta N.', ""26'"", '4', '6', '3'], ['Hauser S.', ""24'"", '8', '4', '0'], ['Anfernee Simons', ""23'"", '12', '1', '0'], ['Minott J.', ""14'"", '10', '1', '1'], ['Garza L.', ""13'"", '2', '2', '1'], ['Chris Boucher', ""9'"", '0', '1', '1'], ['Scheierman B.', ""5'"", '0', '2', '0']]"
35,26-10-2025 17:00,Cleveland Cavaliers,118,Milwaukee Bucks,113,"[['D.Mitchell', ""33'"", '24', '3', '4'], ['S.Merrill', ""30'"", '17', '3', '1'], ['E.Mobley', ""34'"", '23', '8', '6'], ['Hunter D.', ""27'"", '16', '4', '2'], ['Jarrett Allen', ""26'"", '8', '11', '1'], ['D.Wade', ""23'"", '4', '1', '1'], ['Lonzo Ball', ""23'"", '11', '6', '5'], ['Porter C.', ""16'"", '5', '3', '1'], ['Tyson J.', ""15'"", '5', '0', '1'], ['Larry Nance Jr', ""12'"", '5', '5', '1']]","[['Rollins R.', ""34'"", '14', '4', '8'], ['Green A.', ""31'"", '20', '2', '2'], ['Antetokounmpo G.', ""33'"", '40', '14', '9'], ['Trent G.', ""28'"", '6', '0', '2'], ['Turner M.', ""31'"", '13', '6', '2'], ['Prince T.', ""31'"", '8', '3', '1'], ['Portis B.', ""23'"", '10', '8', '1'], ['Sims', ""8'"", '2', '0', '0'], ['Coffey A.', ""8'"", '0', '0', '0'], ['Sears M.', ""7'"", '0', '0', '0'], ['Jackson A.', ""5'"", '0', '0', '0']]"
36,26-10-2025 17:00,Miami Heat,115,New York Knicks,107,"[['Powell N.', ""32'"", '29', '7', '3'], ['Mitchell D.', ""24'"", '9', '1', '6'], ['Adebayo B.', ""38'"", '19', '13', '3'], ['Wiggins A.', ""31'"", '9', '5', '2'], ['Ware K.', ""22'"", '5', '8', '0'], ['Jaquez Jr. J.', ""27'"", '17', '5', '5'], ['Jovic N.', ""25'"", '6', '5', '5'], ['Fontecchio S.', ""19'"", '14', '4', '1'], ['Smith D.', ""18'"", '6', '2', '0'], ['Larsson P.', ""5'"", '1', '0', '0']]","[['Bridges M.', ""37'"", '20', '5', '4'], ['Brunson J.', ""35'"", '37', '5', '7'], ['Anunoby OG.', ""37'"", '14', '6', '1'], ['Towns K.', ""36'"", '15', '18', '2'], ['Hukporti A.', ""10'"", '0', '2', '1'], ['Hart J.', ""29'"", '6', '5', '5'], ['L.Shamet', ""16'"", '0', '1', '1'], ['Yabusele G.', ""16'"", '2', '6', '0'], ['Jordan Clarkson', ""15'"", '8', '3', '2'], ['Kolek T.', ""10'"", '5', '1', '0']]"
37,26-10-2025 17:00,Washington Wizards,113,Charlotte Hornets,139,"[['C.J. McCollum', ""30'"", '24', '6', '5'], ['Carrington C.', ""26'"", '4', '3', '5'], ['George K.', ""25'"", '6', '8', '5'], ['Khris Middleton', ""20'"", '11', '3', '1'], ['Sarr A.', ""25'"", '21', '4', '5'], ['Johnson T.', ""29'"", '18', '4', '2'], ['Whitmore C.', ""21'"", '10', '4', '2'], ['Corey Kispert', ""20'"", '0', '1', '0'], ['Vukcevic T.', ""11'"", '6', '2', '0'], ['Bagley M.', ""10'"", '2', '1', '0'], ['Riley W.', ""9'"", '5', '1', '0'], ['Justin Champagnie', ""6'"", '4', '3', '0'], ['Johnson A.', ""4'"", '0', '0', '0'], ['Cooper S.', ""2'"", '0', '0', '0'], ['Anthony Gill', ""2'"", '2', '0', '0']]","[['LaMelo Ball', ""35'"", '38', '13', '13'], ['Collin Sexton', ""33'"", '20', '2', '3'], ['Knueppel K.', ""35'"", '20', '6', '2'], ['Miles Bridges', ""32'"", '22', '4', '3'], ['Kalkbrenner R.', ""22'"", '4', '5', '1'], ['Moussa Diabate', ""23'"", '12', '10', '1'], ['James S.', ""20'"", '13', '0', '3'], ['Salaun T.', ""16'"", '4', '7', '1'], ['Tre Mann', ""12'"", '0', '2', '0'], ['McNeeley L.', ""6'"", '0', '1', '2'], ['Mason Plumlee', ""3'"", '2', '2', '0'], ['Connaughton P.', ""2'"", '4', '0', '1']]"
38,26-10-2025 18:00,Minnesota Timberwolves,114,Indiana Pacers,110,"[['DiVincenzo', ""38'"", '17', '2', '3'], ['Edwards A.', ""3'"", '5', '1', '0'], ['Randle', ""39'"", '31', '4', '6'], ['McDaniels J.', ""35'"", '11', '5', '1'], ['Gobert R.', ""34'"", '14', '18', '1'], ['Conley M.', ""25'"", '6', '1', '4'], ['Reid N.', ""23'"", '16', '10', '2'], ['Hyland B.', ""19'"", '5', '1', '2'], ['Clark J.', ""15'"", '6', '2', '0'], ['Shannon Jr. T.', ""10'"", '3', '4', '0'], ['Ingles J.', ""1'"", '0', '0', '0']]","[['Nesmith A.', ""35'"", '18', '8', '2'], ['Sheppard B.', ""32'"", '6', '6', '2'], ['Siakam P.', ""37'"", '33', '10', '8'], ['Huff J.', ""16'"", '5', '0', '0'], ['Jackson I.', ""15'"", '6', '3', '2'], ['Dennis R.', ""27'"", '12', '2', '5'], ['Walker J.', ""26'"", '5', '7', '4'], ['Bradley', ""25'"", '12', '5', '1'], ['Toppin O.', ""17'"", '9', '6', '0'], ['Jackson Q.', ""10'"", '4', '2', '0']]"
39,26-10-2025 18:30,Dallas Mavericks,139,Toronto Raptors,129,"[['Flagg C.', ""29'"", '22', '4', '4'], ['Klay Thompson', ""20'"", '10', '4', '3'], ['Anthony Davis', ""35'"", '25', '10', '3'], ['Paul Washington Jr.', ""32'"", '17', '7', '5'], ['Dereck Lively II', ""21'"", '4', '7', '4'], [""D'Angelo Russell"", ""29'"", '24', '5', '6'], ['Max Christie', ""27'"", '17', '2', '2'], ['Naji Marshall', ""25'"", '12', '6', '3'], ['Caleb Martin', ""12'"", '4', '1', '0'], ['Jaden Hardy', ""5'"", '2', '1', '0'], ['Kelly M.', ""2'"", '0', '0', '0'], ['Nembhard R.', ""2'"", '0', '0', '0'], ['Dwight Powell', ""2'"", '2', '2', '2']]","[['Immanuel Quickley', ""32'"", '14', '5', '5'], ['RJ Barrett', ""28'"", '16', '4', '3'], ['Scottie Barnes', ""34'"", '33', '11', '6'], ['Brandon Ingram', ""32'"", '22', '6', '3'], ['Poeltl J.', ""19'"", '4', '8', '4'], ['Ochai Agbaji', ""22'"", '5', '3', '0'], ['Mamukelashvili S.', ""22'"", '16', '1', '3'], ['Shead J.', ""16'"", '6', '0', '8'], ['Murray-Boyles C.', ""13'"", '0', '2', '0'], ['Gradey Dick', ""13'"", '10', '2', '1'], ['Battle J.', ""7'"", '3', '1', '0'], ['Mogbo J.', ""2'"", '0', '0', '0']]"
